date_incident,annee,mois,jour,jour_semaine,saison_cyclonique,zone_cotiere,region,district,commune,lon_geocode,lat_geocode,source_geocode,type_incident,description,personnes_concernees,deces
2017-08-06,2017,8,6,6,0,NOSY BE ET ENVIRONS,,MADAGASCAR,,48.185439,-13.43336,original,,Le satellite de l’EMSA (CLEANSEANET) a détecté 3 petites pollutions hydrocarbures en ZEE malgache ,,
2017-08-07,2017,8,7,0,0,,,OCEAN INDIEN,,32.213449,-28.847401,original,,"Le palangrier de thon HSIANG FUH 6 (Pavillon Taiwan)  a coulé à environ 350 nm à l'Est de Richards Bay, en Afrique du Sud.",,
2017-08-10,2017,8,10,3,0,CAP D'AMBRE A MAHANORO,,MADAGASCAR/MAURICE,,49.017762,-19.313423,original,,Une embarcation mauricienne a dérivé pendant des jours jusqu’aux côtes de Madagascar et a atteint Vatomandry (côte est malgache). Ils ont été secourus par des villageois et dirigés vers la gendarmerie. ,,
2017-08-11,2017,8,11,4,0,CAP D'AMBRE A ANTALAHA,,MADAGASCAR,,49.321113,-12.241541,original,,L’opération de remorquage au profit du MT WIGMORE a finalement réussi après 3 semaines de tentatives conduites par les remorqueurs LANPAN 23 et VB MAHAVEL. Le MT WIGMORE est maintenant en sécurité dans la baie d’Antsiranana. Il poursuit sa réparation du moteur principal et de son gouvernail.,,
2017-09-13,2017,9,13,2,0,,,OCEAN INDIEN,,37.486101,-28.78011,original,,"Le vraquier MV TINA (IMO 9215749)  a rencontré des problèmes de moteur le 3 septembre en Atlantique, et a réussi à poursuivre sa navigation jusqu’à l'Océan Indien en se déplaçant à faible vitesse, 10 jours après, il a été pris en remorque par« PACIFIC DILIGENCE » (OMI 9631395), jusqu’au port de Durban, ",,
2017-09-21,2017,9,21,3,0,CAP D'AMBRE A BESALAMPY,,MAYOTTE/MADAGASCAR,,46.230973,-13.600933,original,,"Durant la journée du 21 septembre, 6 nappes hydrocarbures distinctes ont été détectées par le satellite européen CLEANSEANET entre Mayotte et le Nord-Ouest de Madagascar en 6 points différents, Ces pollutions pourraient être imputées à 3 navires se situant à proximité (Chimiquier, 'Melati 6', vraquier ‘Elgiznur Cebi’ et Porte-conteneurs 'Frisia Hannover')",,
2017-09-24,2017,9,24,6,0,,,OCEAN INDIEN ,,41.15,-16.616666,original,,"Le navire cargo M/V AT 40, pavillon Belize, a dérivé dans la zone Nord-Ouest au large de Juan de Nova depuis le 24 Septembre 2017, à cause d’une avarie de propulsion,  ",,
2017-09-28,2017,9,28,3,0,CAP D'AMBRE A BESALAMPY,,MADAGASCAR,,46.487103,-13.328309,original,,"Dans la journée du 28 septembre, 3 nappes hydrocarbures distinctes ont été détectées par le satellite européen CLEANSEANET entre Mayotte et le Nord-Ouest de Madagascar en 6 points différents, Ces pollutions pourraient être imputées à 2 navires se situant à proximité (Vraquier, 'Angel 2', vraquier ‘Harm’)",,
2017-10-02,2017,10,2,0,0,CAP D'AMBRE A BESALAMPY,,Katsepy Mahajanga/ Madagascar,,46.279045,-15.746659,original,,chavirement d'une embarcation : mort d'un touriste français 10 Fév,,
2017-10-13,2017,10,13,4,0,,,MADAGASCAR,,49.460531,-10.215093,original,,"Le navire pétrolier et chimiquier WIGMORE, pavillon des îles Marshall, n’a pas réussi à pénétrer dans la Baie de Diégo, à cause d’une avarie de gouvernail et de mauvais temps. Pour des raisons de sécurité, il a dû s’écarter de la côte et s’est trouvé à 108 Nm au large du Cap d’Ambre. Le 21 Octobre, le remorqueur LANPAN 23 basé à Antsiranana a été dépêché sur zone pour conduire une opération de remorquage d’urgence du pétrolier vers la baie de Diégo ",,
2017-10-30,2017,10,30,0,0,CAP D'AMBRE A BESALAMPY,,MADAGASCAR,,46.711778,-15.107306,original,,"Une pollution mineure au Nord-Ouest de Madagascar a été reportée dans la nuit du 30 0ctobre à 03h20Z, à la position 15° 01' S / 046° 44' E dans l’azimuth 313 de la POINTE AMBARATA à 15.8 nq. Caractéristiques de la pollution :longueur:14.31nq ;largeur:0.37nq ; superficie: 5.32nq² ; le vent vient du 120 pour 6 nds.",,
2017-11-02,2017,11,2,3,1,ANTALAHA A TOAMASINA,,Ambodiatafana Madagascar,,49.467173,-18.167217,original,,noyade d'un jeune étudiant 11 Fév,,
2017-11-11,2017,11,11,5,1,ANTALAHA A TOAMASINA,,MADAGASCAR,,49.42089,-18.150514,original,,Le MS AGNIRIBE s’est échoué à l’entrée de la rade de Toamasina à cause d’une avarie moteur vers 01h du matin. Il a été assisté par le remorqueur VOLAZARA (IMO: 9209738) ; l’opération de déséchouage a permis au navire de reprendre sa route.,,
2017-11-16,2017,11,16,3,1,,,CANAL DE MOZAMBIQUE,,40.665188,-19.585904,original,,"Un yacht sud-africain, le KINDA MAGIC a connu des difficultés et a coulé peu de temps après avoir été secouru. Les 4 occupants du yacht - tous sud-africains - ont été secourus par un tanker de passage, le MT MERSINI, après qu'ils aient abandonné le yacht. ",,
2017-11-27,2017,11,27,0,1,CAP D'AMBRE A MAHANORO,,MADAGASCAR,,48.885201,-19.93376,original,,"Un canot, avec 11 personnes et beaucoup de marchandises diverses à bord, qui partait de Mahanoro pour rejoindre Ambavasahavato, a coulé à Sohihy, dans la commune de Masomeloka, suite à un problème technique survenu en pleine mer. 6 des passagers ont perdu la vie, 2 sont toujours portés disparus, 3 ont survécu et sont en sécurité.",,
2017-12-08,2017,12,8,4,1,CAP D'AMBRE A BESALAMPY,,MADAGASCAR,,45.934955,-15.719766,original,,"Des possibles traces de pollutions marines ont été détectées par le satellite de CleanSeaNet au large de Nosy Makamby, au Nord-Ouest de Madagascar.",,
2017-12-13,2017,12,13,2,1,,,CANAL DU MOZAMBIQUE ,,41.999991,-16.066675,original,,"À la position 16°04S 042°E, le BW EAGLE (IMO 970807, pavillon Singapour), a demandé une assistance médicale pour un membre d'équipage qui s’est coupé les doigts. La victime est dans un état stable.",,
2017-12-25,2017,12,25,0,1,CAP D'AMBRE A BESALAMPY,,MADAGASCAR,,46.251548,-15.76635,original,,"Le bateau denommé FANANTENANA, qui a transporté un total de 13 personnes et des marchandises, partait de Mahajanga pour rejoindre Tambohorano. Non loin de Katsepy, à la suite d’un problème technique, le navire s’est heurté à un rocher et l'eau a commencé à entrer. Tous les passagers ont pu être sauvés mais toutes les marchandises ont été emportées par la mer.",,
2017-12-27,2017,12,27,2,1,ANTALAHA A TOAMASINA,,MADAGASCAR,,50.01169,-16.338567,original,,"Le bateau MS ATLANTIS, qui transporte régulièrement des marchandises sur l’axe Toamasina-Maroantsetra, a rencontré un problème technique : le gouvernail s’est détaché et est tombé à la mer, empêchant le navire d’être manœuvré. Après plusieurs heures de dérive en mer, le bateau en détresse a été repéré à 20 nautiques (37 kilomètres) au Sud-Est de Mananara et a pu être remorqué au port de Sainte-Marie. Il n'y a eu aucune perte de vie et les 6 marins à bord sont en sécurité.",,
2018-02-15,2018,2,15,3,1,CAP D'AMBRE A BESALAMPY,,MADAGASCAR,,47.882059,-14.197934,original,,"L’équipe SAR de l’Agence Portuaire Maritime et Fluviale (APMF), à bord de la vedette AIDA, a organisé une opération d’assistance au boutre SAMY ÇA VA, en détresse, au nord d’Antsanitia, à Mahajanga. Le boutre transportait des rondins de bois, en provenance de Mariarano et avait un mât cassé avec des voiles déchirées en mer agitée et à la marée montante. Les 5 membres d’équipage ont pu être secourus. Leur boutre a été ensuite pris en remorque vers la plage du Grand Pavois à Mahajanga ",,
2018-03-27,2018,3,27,1,1,NOSY BE ET ENVIRONS,,MADAGASCAR,,48.41196,-13.354035,original,,"L’équipage de l’AKIO a été lancé à la recherche d’un ressortissant français, qui s’est aventuré, à bord de son kayak, dans la longue traversée entre Nosy Be et Nosy Faly, sans moyen de communication ni équipements pour une traversée maritime. Il a été retrouvé sur la plage de Nosy Be après des heures de recherche.  ",,
2018-05-15,2018,5,15,1,0,ANTALAHA A TOAMASINA,,MADAGASCAR,,49.768243,-16.15418,original,,"Le corps sans vie d’un capitaine de navire a été retrouvé dans la rivière de Mananara, à environ 1 km du port. Des traces de sang ont été découvertes sur le corps et une blessure profonde a été localisée au niveau de sa tête. D’après les blessures constatées, il aurait été tué avant d’être jeté par-dessus bord.  ",,
2018-05-19,2018,5,19,5,0,CAP D'AMBRE A BESALAMPY,,MADAGASCAR,,46.10692,-15.496723,original,,"Une légère pollution d’hydrocarbure d’une surface de 0.38nm² a été détectée par CLEANSEANET, au large de Majunga, à la position 15°37' S  045°41' E, à 36 mn de la ZEE de Madagascar ",,
2018-06-04,2018,6,4,0,0,BESALAMPY A MOROMBE,,MADAGASCAR,,44.236828,-16.664569,original,," Chargé de carburant destiné à la centrale thermique de la compagnie de l’électricité et de l’eau (JIRAMA) et de produits de première nécessité, un cargo baptisé  LA SAGESSE, a coulé à l’approche de Besalampy. Une dizaine de naufragés ont survécu.Au total, 8 000 litres de carburant, répartis dans 40 barils, ainsi que des produits de première nécessité, ont été engloutis sous les eaux. L’équipage a pu être évacué.",,
2018-06-09,2018,6,9,5,0,ANTALAHA A TOAMASINA,,MADAGASCAR,,50.2826,-14.900575,original,,"A la position 14°54’S/050°16’E, vers 14 heures, un chaland chargé des marchandises tracté par un remorquer dénommé PAPRIKA a sombré à l’entrée du port d’Antalaha, Des caisses de bières ont coulé, Aucune perte en vie humaine n’est à déplorer, ",,
2018-06-18,2018,6,18,0,0,,,MADAGASCAR,,50.311009,-20.710113,original,,"Le vraquier LADY Z, battant pavillon Panama, IMO 9465784, a signalé la présence d’un malade à bord, à la position 20°42.00 S 050°19.00 E (SRR malgache). Le navire était en route depuis Rio (Brésil) vers Singapour. Le lendemain, le malade, un matelot de nationalité Ukrainienne, a été annoncé mort et le navire a fait route vers La Réunion pour débarquer son corps. ",,
2018-07-24,2018,7,24,1,0,,,MADAGASCAR,,51.620566,-19.904801,original,,"A 05h00LOC, le CROSS a informé l’armement Enez qu’un marin de ses marins de nationalité malgache avait perdu connaissance, alors que LE GRAND MORNE était en route en direction de La Réunion, avec des conditions de vent et de mer difficiles, pour rejoindre une zone accessible par hélicoptère. Malheureusement, l’état du marin a empiré et le décès a été constaté en début d’après-midi, des suites d'une forte fièvre. ",,
2018-08-03,2018,8,3,4,0,,,MADAGASCAR,,43.155788,-14.549915,original,,"2 déversements d'hydrocarbures possibles ont été observés par le Satellite de l’EMSA à 16h07 UTC, dans la ZEE de Madagascar, avec une possible dérive vers la ZEE des Comores, aux positions suivantes: 14°32,82S-043°09,81E,14°01,70E-043°16,05E. Le MV ORIENT DEFENDER (OMI 9522881) présent sur la zone au moment du déversement, est le seul navire dont la cinématique pourrait coïncider avec le premier possible déversement localisé. ",,
2018-08-11,2018,8,11,5,0,CAP D'AMBRE A BESALAMPY,,MADAGASCAR,,45.349926,-16.000989,original,,"L’APMF a reçu un appel de détresse du voilier LIBERTE, (indicatif d'appel AIS : WDI2058, pavillon américain), ancré dans la baie de Soalala (16°00S 45°21E). Le voilier a 2 personnes à son bord, et demande de l’aide pour l'une d’elles qui est très malade et qui nécessite des soins médicaux immédiats. L'ambassade des États-Unis a coordonné les activités avec les professionnels de la santé à Mahajanga et le bateau de sauvetage de l'APMF.   ",,
2018-08-31,2018,8,31,4,0,ANTALAHA A TOAMASINA,,MADAGASCAR,,49.833333,-16.816667,original,,"A la position 16°49S 49°50E, un boutre de nom inconnu, avec 20 personnes à bord, a chaviré : 5 personnes décédées, 15 rescapées. ",,
2018-09-07,2018,9,7,4,0,ANTALAHA A TOAMASINA,,MADAGASCAR,,49.728767,-15.516714,original,,"Un canot transportant 15 personnes a chaviré en mer, à cause du mauvais temps, entre Ambinanibe et Androngoza, dans le district de Maroantsetra. Une personne est portée disparue.  ",,
2018-09-12,2018,9,12,2,0,ANTALAHA A TOAMASINA,,MADAGASCAR,,49.43089,-18.14418,original,,"Le SEBAE 6, palangrier de la société Refrigepêche Est, s’est échoué sur le récif de Tamatave, à l’entrée du port. Lors d’une tentative de déséchouage de la coque, la structure du palangrier s’est disloquée. L’armateur s’est depuis engagé dans des opérations de nettoyage et désengagement de l’épave. Aucune pollution n’a été détectée lors de ces opérations. ",,
2018-09-13,2018,9,13,3,0,,, MADAGASCAR,,42.462726,-19.209726,original,,"A 04h31Z, à la position 19° 12' S 042° 28' E - 186°, à 133nm JUAN DE NOVA, une pollution légère (1,81 nm de longueur - 0,74 nm de largeur - forme irrégulière - Etendue : 0,68 nm²) a été observée en ZEE malgache -, ",,
2018-09-13,2018,9,13,3,0,NOSY BE ET ENVIRONS,,MADAGASCAR,,48.763295,-13.003882,original,,"Vers 06 heures du matin, entre Amboanio et Nosy Mangeo, à la position 13° 0'12,96""S 48°45'47,84""E, district Ambilobe, une vedette sans nom, en partance pour Nosy Mitsio, avec 26 personnes à bord et beaucoup de marchandises, a coulé en raison d’une surcharge, 3 corps ont été retrouvés, 23 personnes ont pu être secourues, ",,
2018-10-01,2018,10,1,0,0,,,,,25.166606,-34.522291,original,,"Un homme a chuté de son bateau de pêche MARYKE, au large d'Aasvogelspunt, à 30 mn au Sud-Est de St Francis Bay. Malgré une vaste opération de recherche aérienne, maritime et littorale, aucun signe du pêcheur disparu n'a été trouvé. ,,,, ",,
2018-10-05,2018,10,5,4,0,ANTALAHA A TOAMASINA,,MADAGASCAR,,49.54398,-17.702741,original,,"Du fait d’une mauvaise appréciation et du non suivi des règles de navigation, 2 caboteurs, de pavillon Malagasy, le STEFANO et le VOGUE, sont entrés en collision au large de Foulpointe. Le STEFANO, navire en bois en provenance de Toamasina, a coulé après collision avec le VOGUE, navire en acier qui venait de Vohémar. Aucune victime humaine n’est à déplorer, car tous les passagers du STEFANO ont pu être récupérés par l’équipage du VOGUE, mais le navire et toutes ses marchandises ont sombré.  ",,
2018-10-20,2018,10,20,5,0,ANTALAHA A TOAMASINA,,MADAGASCAR,,50.282541,-14.900761,original,,"Vers 13h00, le navire SIRENE (Immatriculation : DS08.019), avec 7 membres d'équipage et 5 passagers à bord, s'est échoué au port d'Antalaha, pendant la manœuvre de sortie du navire à destination d'Antsiranana. D'après le Capitaine du navire accidenté, le cordage de la manœuvre sur le navire SARAH IV à quai s'est lâché et le courant a emmené le navire vers le récif. Aucune victime n’est à déplorer.  ",,
2018-12-05,2018,12,5,2,1,CAP D'AMBRE A BESALAMPY,,MADAGASCAR,,46.292193,-15.72966,original,,"Le navire de transport SIKA, pavillon comorien, a chaviré à quai au port de Mahajanga, juste avant son appareillage pour Moroni. Aucune perte en vie humaine n’a été recensée, de faibles quantités carburants et des huiles moteur se sont déversées; Un barrage antipollution a été mis en place afin d’isoler la pollution par l’organisme de lutte contre les pollutions (OLEP), avec l’aide du Détachement Marine de Mahajanga. Les opérations de relevage et de remise à flot du navire ont commencé, les carburants des soutes ont également été pompés. Le chavirement aurait pu être occasionné par le défaut de chargement, qui a engagé la stabilité du navire. ",,
2018-12-09,2018,12,9,6,1,,,MADAGASCAR,,44.911528,-15.013982,original,,"Le navire de pêche PANNAGIA, en avarie moteur suite à un feu sur l'alternateur, était en dérive depuis le 11 septembre, à 50 mn des côtes de Mahajunga, A la suite d’une alerte transmise au CROSS Réunion par le PC AEM de Mayotte, le navire de pêche a pu être relocalisé et les 3 marins à bord ont pu être sauvés, en déroutant le MV VITA FUTURE, qui se trouvait aux alentours, Le FV PANNAGIA a été abandonné à la dérive, à la position 14°59S 044°55E à 21h07 UTC,  ",,
2019-01-08,2019,1,8,1,1,NOSY BE ET ENVIRONS,,NOSY BE,,48.23812777777778,-13.4151,original,,"Le 1er Août 2019 vers 22h, une coque en provenance d’Ankify pour rallier Nosy be a été naufragé suite à un problème de voie d’eau avec 7 personnes à son bord. Tous ont été sauvés par une vedette denommée TOSCA. Les circonstances de l'accident ne sont pas encore determinées ni le nom de l'embarcation. Enquête en cours par la Brigade Nautique de Nosy Be.",,
2019-01-16,2019,1,16,2,1,ANTALAHA A TOAMASINA,,Port Toamasina,,49.425001,-18.156699,original,,"Le navire Mangabe a été victime d'un incendie à bord. 6 personnes, gravement brulées . 2  morts",,
2019-01-21,2019,1,21,0,1,CAP D'AMBRE A BESALAMPY,,jardin d'amour /Mahajanga,,46.315141,-15.696729,original,,incident à cause de mauvais temps- 3 pécheurs à bord secourus- pirogue non recuperée,,
2019-01-22,2019,1,22,1,1,BESALAMPY A MOROMBE,,à l’entrée embouchure de Nosikely-Morondava,,44.280774,-20.305419,original,,Incident survenu à cause de mauvais temps- tous passagers (07)ont été sains et saufs,,
2019-01-24,2019,1,24,3,1,NOSY BE ET ENVIRONS,,Ankify- Ambanja,,48.353823,-13.535174,original,,Lors  de l'embarquement de cette voiture laquelle a glissé  à cause de defaillance des responsables,,
2019-02-08,2019,2,8,4,1,ANTALAHA A TOAMASINA,,ILE SAINTE MARIE,,49.853497222222224,-16.941158333333334,original,,"Le 02 juillet 2019 vers 15H30, sur les côtes d’Analamboanio, deux pêcheurs dont chacun a sa propre pirogue fabriquée en bois, sans moteur pour prendre le large ont été disparus à cause de mauvais temps. Les nommés LALAHIMIARO, 52 ans et TSIAFINDRA Gilbert, 54 ans, tous demeurant à Analamboanio sont les victimes de cet accident et demeurent introuvables. L’APMF de cette localité a déjà alerté la population de ce quartier en vue de les retrouver. La gendarmerie est chargée de cette affaire.",,
2019-02-12,2019,2,12,1,1,ANTALAHA A TOAMASINA,,VINANIVAO,,50.31396944444444,-15.938213888888887,original,,"2 navires, au mouillage, ont été contrôlés entre Ifaho et Vinanivao, par les éléments de la compagnie de la GN d’Antalaha en patrouille. Il s’agit du navire MS EVANN 1, immatriculé : 16.004 ; et le navire MS HARDINA, immatriculé : MJ 71.014. Le premier navire est en provenance de Foulpointe pour rallier Ambodirafia avec, à son bord, huit (08) équipages et diverses marchandises. D’après son Commandant, le navire MS EVANN 1 est en panne moteur. Quant au navire MS HARDINA, il est en provenance de Foulpointe en direction de Ifaho avec six (06) équipages à bord et diverses marchandises. Durant ce contrôle, les éléments de la GN ont trouvé que le permis de navigation de ce deuxième navire a expiré le 07 Décembre 2019. Selon le Commandant, le bateau a une panne de gouvernail.
Compte tenu de ces informations fournies par les commandants de ces deux navires et afin d’éviter toute forme de tentation de transbordement illicite de Bois de rose dans cette endroit, le Commandant de la compagnie d’Antalaha a retiré les papiers des navires en question pendant qu’ils finissent leur réparation. Le navire HARDINA est déjà réparé et a quitté le lieu le 12 décembre 2019 vers 06H15 en direction de Toamasina. MS EVANN 1 est encore en cours de réparation.",,
2019-02-26,2019,2,26,1,1,BESALAMPY A MOROMBE,,Morondava,,44.290353,-20.285855,original,,"Le corps d’un étudiant a été retrouvé par des pécheurs dans la matinée du 26 février, deux jours après avoir été emporté par la mer. Ces pécheurs l’ont remonté et a informé le président de canton Nosy Kely qui a son tour a avisé la famille de la victime.",,
2019-02-28,2019,2,28,3,1,,,"Dans la ZEE, à l'Est de Madagascar",,,,original,,"Le navire SEA WAVE III, ex Huascar, pavillon panama est en dérive dans la ZEE Madagascar depuis 28 Février 2019. Sa dernière position reçue est à 0730c avec latitude de 16°58.2’ et de longitude de 051°24.4",,
2019-03-12,2019,3,12,1,1,ANTALAHA A TOAMASINA,,MANANARA NORD,,49.80359444444444,-16.169311111111114,original,,"Le 03 Décembre 2019 vers 04h 30 du matin, le caboteur en acier DAVINAH, appartenant à Monsieur RENAUD, en provenance d’Antalaha le 02 décembre 2019 à 6H00 en direction de Toamasina s’est échoué sur un récif corallien dans la réserve marine Ifaho au large du village Itanjona Fokontany Ifaho, entre les Communes Rurales Ampanavoana et Vinanivao. L’incident maritime est dû au désamorçage du moteur principal et la panne de la motopompe. Les réparations sont en cours sur place. Le navire embarquait à son bord 10 équipages, 09 passagers et 44 sacs de ciment. Vers la fin de l’après-midi du 04 décembre 2019 à 17h, le caboteur DAVID II en provenance d’Antalaha est arrivé sur le lieu de l’échouement pour évacuer les passagers du navire échoué. DAVID II a quitté le lieu d’échouement le 04 décembre 2019 vers 04h du matin pour rallier Toamasina et il est arrivé au port de Toamasina vers 22h du 04 Décembre 2019. Des équipes de sauvetage équipées de divers matériels vont quitter Toamasina le 06 décembre 2019 pour déséchouer le navire DAVINAH. ",,
2019-03-23,2019,3,23,5,1,CAP D'AMBRE A BESALAMPY,,Majunga,,46.315141,-15.696729,original,,"En l’espace d’une semaine, 5 personnes ont été victimes de noyade au
Village touristique de Majunga dont 2 restent introuvables et 2 autres ont pu être sauvées et
évacuées à l’hôpital Androva. La recherche menée par les sapeurs-pompiers continue. Cette partie
de Majunga, avec une mer d’un air calme, cache des fonds dangereux et la baignade devrait y être
règlementée par les autorités locales car ce n’est pas la première fois qu’elle fait des victimes.",,
2019-04-03,2019,4,3,2,1,CAP D'AMBRE A BESALAMPY,,Antsahabingo,,46.315141,-15.696729,original,,"Le corps d’un jeune homme, noyé dans la mer d’Antsahabingo la veille, a été
retrouve ce jour. La recherche a duré toute la nuit.",,
2019-04-16,2019,4,16,1,1,CAP D'AMBRE A BESALAMPY,,Androdana,,47.724957,-14.672151,original,,"La CR d’Androdana, district d’Analalava, lors d’une intervention d’une
vedette rapide, quatre (04) personnes ont été sauvées d’une pirogue naufragée; selon la
gendarmerie d’Analalava. Une femme enceinte avec un enfant de sept mois n’ont pas pu être
trouvés. Le mauvais temps en est la cause. Toutefois, joint par téléphone le 23 avril, le CB a
confirmé que le corps de l’enfant a été trouvé le jour du naufrage vers 18 heures.",,
2019-04-23,2019,4,23,1,1,,,Au Sud de Madagascar,,,,original,,"Dans le sud de Madagascar, le navire GOLD GEMINI (ex ANNIKA) a dû virer
de son trajectoire suite à une panne technique. Il est resté à la dérive, à 48,5 NM de l’île jusqu’au
28 avril 2019 pour réparation. Ensuite, il a repris son itinéraire le 29 avril 2019 vers 09h.",,
2019-04-29,2019,4,29,0,1,CAP D'AMBRE A BESALAMPY,,Antsohihy,,47.954747,-14.827325,original,,"Dans le district d’Antsohihy, à Antafana-Ambodinadiro, une embarcation en bois,
transportant une quarantaine de personnes à bord, a fait 37 rescapés et 03 morts dont 02 repêchés
et 01 introuvable. La cause du naufrage a été une perforation de sa coque par un débris de bois.
Notons que cette embarcation assure des liaisons commerciales entre Analalava et Befotaka-Nord.
Le Poste fixe de la GN Befotaka est chargé de cette affaire et deux (02) membres d’équipage sont
en garde à vue. Vu la recrudescence des incidents maritimes, l’APMF devrait prendre des mesures
draconiennes surtout aux embarcations en bois pour qu’un tel cas ne se produise plus.",,
2019-05-15,2019,5,15,2,0,MOROMBE AU CAP SAINTE MARIE,,"A la Baie de Salary, à 90km au nord de Toliara",,43.284766,-22.557028,original,,"Un australien consultant de WICS et des français, Fréderic Lucas et Bruno Camilloto, à bord d’une vedette type Diving, dénommée LE CORSAIR ont effectué un plongé  pour des études sous-marine. Au fond de l’océan, avec leurs appareils respectifs, ils n’ont pas pu rejoindre leur vedette suite au passage d’un courant sous-marin. Les éléments de la GN de Manombo et de Tsiandamba leurs portent de secours et leurs infrastructures sont disparus. ",,
2019-05-17,2019,5,17,4,0,ANTALAHA A TOAMASINA,,"Du côté de la Cité Canada, Toamasina",,49.395781,-18.14427,original,," Un garçon dénommé Brayan, collégien, âgé de 13 ans était englouti par la mer lors du sauvetage de son ami. Ce dernier a été sauvé tandis qu’il reste disparue au fond de la mer jusqu’à ce jour, malgré les recherches de la famille et les autorités locales.",,
2019-05-26,2019,5,26,6,0,ANTALAHA A TOAMASINA,,Sainte Marie,,49.905769,-16.8939,original,,"Au large de Sainte Marie, à cause de mauvais temps, un navire pêcheur s’est chaviré, et a fait deux victimes, tous des hommes. Les corps de ces victimes (JIMMY-40ans et FRANCK-30ans) ont été respectivement trouvés au bord d’Analaranjy, CU de Ste Marie le 27 mai 2019 et dans le quartier de Lamonoana, fokontany de Maromandia le 30 mai 2019. L’interdiction de prendre la mer a été prononcée à l’endroit des pêcheurs. ",,
